trackerName,username,password
ABTorrents,username,password
Aither,username,password
AlphaRatio,username,password
AnimeBytes,username,password
Anthelion,username,password
BackUps,username,password
BakaBT,username,password
Blutopia,username,password
BwTorrents,username,password
Cathode-Ray.Tube,username,password
DICMusic,username,password
Empornium,username,password
FearNoPeer,username,password
FileList,username,password
HDUnited,username,password
ItaTorrents,username,password
Libble,username,password
LST,username,password
Metal-Tracker,username,password
MoreThanTV,username,password
MyAnonaMouse,email@address.com,password
Nebulance,username,password
Orpheus,username,password
PixelCove,username,password
PornBay,username,password
PrivateSilverScreen,username,password
Redacted,username,password
ReelFlix,username,password
SecretCinema,username,password
SeedPool,username,password
Tasmanites,username,password
TeamOS,email@address.com,password
TorrentLeech,username,password
TVChaosUK,username,password
UHDBits,username,password
Unwalled,username,password
#,Non-english trackers,UI required to translate
Kufirc,username,password
Lat-Team,username,password
RUTracker,username,password
#,Manual trackers,UI required for user input
BeyondHD,username,password
CGPeers,username,password
DigitalCore.Club,username,password
DocsPedia,username,password
GazelleGames,username,password
PassThePopcorn,username,password
TheEmpire,username,password
TheGeeks,username,password
#,Cloudflare trackers,UI required to pass detection
AnimeTorrents,username,password
AvistaZ,username,password
CinemaZ,username,password
ExoticaZ,username,password
HDBits,username,password
PrivateHD,username,password
